rankingId,rankingTitle,state,value,displayValue,direction,directionLabel,metricId
electricity-affordability,Most Affordable Electricity by State,North Dakota,107.28,$107.28,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Nebraska,109.71,$109.71,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Louisiana,111.06,$111.06,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Arkansas,115.47,$115.47,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Washington,115.74,$115.74,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Utah,116.73,$116.73,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Oklahoma,117.45,$117.45,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Montana,118.08,$118.08,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,South Dakota,118.26,$118.26,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Nevada,118.44,$118.44,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Iowa,118.62,$118.62,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Kentucky,118.8,$118.80,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Tennessee,119.52,$119.52,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Missouri,120.33,$120.33,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Mississippi,125.19,$125.19,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Wyoming,126.18,$126.18,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,North Carolina,126.72,$126.72,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Kansas,130.32,$130.32,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,South Carolina,132.48,$132.48,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Oregon,135,$135.00,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Georgia,136.98,$136.98,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Virginia,137.34,$137.34,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Florida,137.43,$137.43,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,New Mexico,137.61,$137.61,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,West Virginia,138.51,$138.51,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Arizona,141.3,$141.30,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Colorado,142.11,$142.11,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Texas,142.47,$142.47,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Minnesota,144.36,$144.36,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Indiana,145.08,$145.08,asc,Lowest to highest,metricValue
electricity-affordability,Most Affordable Electricity by State,Alabama,148.95,$148.95,asc,Lowest to highest,metricValue
